id,country,population,yearlychange,netchange,area,migrants,fertility,medianage,urbanpopulation
53,Côte d'Ivoire,"26,378,274",2.57 %,"661,730","318,000","-8,000",4.7,19,51 %
54,North Korea,"25,778,816",0.44 %,"112,655","120,410","-5,403",1.9,35,63 %
55,Australia,"25,499,884",1.18 %,"296,686","7,682,300","158,246",1.8,38,86 %
56,Niger,"24,206,644",3.84 %,"895,929","1,266,700","4,000",7,15,17 %
57,Taiwan,"23,816,775",0.18 %,"42,899","35,410","30,001",1.2,42,79 %
58,Sri Lanka,"21,413,249",0.42 %,"89,516","62,710","-97,986",2.2,34,18 %
59,Burkina Faso,"20,903,273",2.86 %,"581,895","273,600","-25,000",5.2,18,31 %
60,Mali,"20,250,833",3.02 %,"592,802","1,220,190","-40,000",5.9,16,44 %
61,Romania,"19,237,691",-0.66 %,"-126,866","230,170","-73,999",1.6,43,55 %
62,Malawi,"19,129,952",2.69 %,"501,205","94,280","-16,053",4.3,18,18 %
63,Chile,"19,116,201",0.87 %,"164,163","743,532","111,708",1.7,35,85 %
64,Kazakhstan,"18,776,707",1.21 %,"225,280","2,699,700","-18,000",2.8,31,58 %
65,Zambia,"18,383,955",2.93 %,"522,925","743,390","-8,000",4.7,18,45 %
66,Guatemala,"17,915,568",1.90 %,"334,096","107,160","-9,215",2.9,23,52 %
67,Ecuador,"17,643,054",1.55 %,"269,392","248,360","36,400",2.4,28,63 %
68,Syria,"17,500,658",2.52 %,"430,523","183,630","-427,391",2.8,26,60 %
69,Netherlands,"17,134,872",0.22 %,"37,742","33,720","16,000",1.7,43,92 %
70,Senegal,"16,743,927",2.75 %,"447,563","192,530","-20,000",4.7,19,49 %
71,Cambodia,"16,718,965",1.41 %,"232,423","176,520","-30,000",2.5,26,24 %
72,Chad,"16,425,864",3.00 %,"478,988","1,259,200","2,000",5.8,17,23 %
73,Somalia,"15,893,222",2.92 %,"450,317","627,340","-40,000",6.1,17,47 %
74,Zimbabwe,"14,862,924",1.48 %,"217,456","386,850","-116,858",3.6,19,38 %
75,Guinea,"13,132,795",2.83 %,"361,549","245,720","-4,000",4.7,18,39 %
76,Rwanda,"12,952,218",2.58 %,"325,268","24,670","-9,000",4.1,20,18 %
77,Benin,"12,123,200",2.73 %,"322,049","112,760","-2,000",4.9,19,48 %
78,Burundi,"11,890,784",3.12 %,"360,204","25,680","2,001",5.5,17,14 %
79,Tunisia,"11,818,619",1.06 %,"123,900","155,360","-4,000",2.2,33,70 %
80,Bolivia,"11,673,021",1.39 %,"159,921","1,083,300","-9,504",2.8,26,69 %
81,Belgium,"11,589,623",0.44 %,"50,295","30,280","48,000",1.7,42,98 %
82,Haiti,"11,402,528",1.24 %,"139,451","27,560","-35,000",3,24,57 %
83,Cuba,"11,326,616",-0.06 %,"-6,867","106,440","-14,400",1.6,42,78 %
84,South Sudan,"11,193,725",1.19 %,"131,612","610,952","-174,200",4.7,19,25 %
85,Dominican Republic,"10,847,910",1.01 %,"108,952","48,320","-30,000",2.4,28,85 %
86,Czech Republic (Czechia),"10,708,981",0.18 %,"19,772","77,240","22,011",1.6,43,74 %
87,Greece,"10,423,054",-0.48 %,"-50,401","128,900","-16,000",1.3,46,85 %
88,Jordan,"10,203,134",1.00 %,"101,440","88,780","10,220",2.8,24,91 %
89,Portugal,"10,196,709",-0.29 %,"-29,478","91,590","-6,000",1.3,46,66 %
90,Azerbaijan,"10,139,177",0.91 %,"91,459","82,658","1,200",2.1,32,56 %
91,Sweden,"10,099,265",0.63 %,"62,886","410,340","40,000",1.9,41,88 %
92,Honduras,"9,904,607",1.63 %,"158,490","111,890","-6,800",2.5,24,57 %
93,United Arab Emirates,"9,890,402",1.23 %,"119,873","83,600","40,000",1.4,33,86 %
94,Hungary,"9,660,351",-0.25 %,"-24,328","90,530","6,000",1.5,43,72 %
95,Tajikistan,"9,537,645",2.32 %,"216,627","139,960","-20,000",3.6,22,27 %
96,Belarus,"9,449,323",-0.03 %,"-3,088","202,910","8,730",1.7,40,79 %
97,Austria,"9,006,398",0.57 %,"51,296","82,409","65,000",1.5,43,57 %
98,Papua New Guinea,"8,947,024",1.95 %,"170,915","452,860",-800,3.6,22,13 %
99,Serbia,"8,737,371",-0.40 %,"-34,864","87,460","4,000",1.5,42,56 %
100,Israel,"8,655,535",1.60 %,"136,158","21,640","10,000",3,30,93 %
101,Switzerland,"8,654,622",0.74 %,"63,257","39,516","52,000",1.5,43,74 %
102,Togo,"8,278,724",2.43 %,"196,358","54,390","-2,000",4.4,19,43 %
103,Sierra Leone,"7,976,983",2.10 %,"163,768","72,180","-4,200",4.3,19,43 %
104,Hong Kong,"7,496,981",0.82 %,"60,827","1,050","29,308",1.3,45,N.A.
105,Laos,"7,275,560",1.48 %,"106,105","230,800","-14,704",2.7,24,36 %
106,Paraguay,"7,132,538",1.25 %,"87,902","397,300","-16,556",2.4,26,62 %
107,Bulgaria,"6,948,445",-0.74 %,"-51,674","108,560","-4,800",1.6,45,76 %
108,Libya,"6,871,292",1.38 %,"93,840","1,759,540","-1,999",2.3,29,78 %
109,Lebanon,"6,825,445",-0.44 %,"-30,268","10,230","-30,012",2.1,30,78 %
110,Nicaragua,"6,624,554",1.21 %,"79,052","120,340","-21,272",2.4,26,57 %
111,Kyrgyzstan,"6,524,195",1.69 %,"108,345","191,800","-4,000",3,26,36 %
112,El Salvador,"6,486,205",0.51 %,"32,652","20,720","-40,539",2.1,28,73 %
113,Turkmenistan,"6,031,200",1.50 %,"89,111","469,930","-5,000",2.8,27,53 %
114,Singapore,"5,850,342",0.79 %,"46,005",700,"27,028",1.2,42,N.A.
115,Denmark,"5,792,202",0.35 %,"20,326","42,430","15,200",1.8,42,88 %
116,Finland,"5,540,720",0.15 %,"8,564","303,890","14,000",1.5,43,86 %
117,Congo,"5,518,087",2.56 %,"137,579","341,500","-4,000",4.5,19,70 %
118,Slovakia,"5,459,642",0.05 %,"2,629","48,088","1,485",1.5,41,54 %
119,Norway,"5,421,241",0.79 %,"42,384","365,268","28,000",1.7,40,83 %
120,Oman,"5,106,626",2.65 %,"131,640","309,500","87,400",2.9,31,87 %
121,State of Palestine,"5,101,414",2.41 %,"119,994","6,020","-10,563",3.7,21,80 %
122,Costa Rica,"5,094,118",0.92 %,"46,557","51,060","4,200",1.8,33,80 %
123,Liberia,"5,057,681",2.44 %,"120,307","96,320","-5,000",4.4,19,53 %
124,Ireland,"4,937,786",1.13 %,"55,291","68,890","23,604",1.8,38,63 %
125,Central African Republic,"4,829,767",1.78 %,"84,582","622,980","-40,000",4.8,18,43 %
126,New Zealand,"4,822,233",0.82 %,"39,170","263,310","14,881",1.9,38,87 %
127,Mauritania,"4,649,658",2.74 %,"123,962","1,030,700","5,000",4.6,20,57 %
128,Panama,"4,314,767",1.61 %,"68,328","74,340","11,200",2.5,30,68 %
129,Kuwait,"4,270,571",1.51 %,"63,488","17,820","39,520",2.1,37,N.A.
130,Croatia,"4,105,267",-0.61 %,"-25,037","55,960","-8,001",1.4,44,58 %
131,Moldova,"4,033,963",-0.23 %,"-9,300","32,850","-1,387",1.3,38,43 %
132,Georgia,"3,989,167",-0.19 %,"-7,598","69,490","-10,000",2.1,38,58 %
133,Eritrea,"3,546,421",1.41 %,"49,304","101,000","-39,858",4.1,19,63 %
134,Uruguay,"3,473,730",0.35 %,"11,996","175,020","-3,000",2,36,96 %
135,Bosnia and Herzegovina,"3,280,819",-0.61 %,"-20,181","51,000","-21,585",1.3,43,52 %
136,Mongolia,"3,278,290",1.65 %,"53,123","1,553,560",-852,2.9,28,67 %
137,Armenia,"2,963,243",0.19 %,"5,512","28,470","-4,998",1.8,35,63 %
138,Jamaica,"2,961,167",0.44 %,"12,888","10,830","-11,332",2,31,55 %
139,Qatar,"2,881,053",1.73 %,"48,986","11,610","40,000",1.9,32,96 %
140,Albania,"2,877,797",-0.11 %,"-3,120","27,400","-14,000",1.6,36,63 %
141,Puerto Rico,"2,860,853",-2.47 %,"-72,555","8,870","-97,986",1.2,44,N.A.
142,Lithuania,"2,722,289",-1.35 %,"-37,338","62,674","-32,780",1.7,45,71 %
143,Namibia,"2,540,905",1.86 %,"46,375","823,290","-4,806",3.4,22,55 %
144,Gambia,"2,416,668",2.94 %,"68,962","10,120","-3,087",5.3,18,59 %
145,Botswana,"2,351,627",2.08 %,"47,930","566,730","3,000",2.9,24,73 %
146,Gabon,"2,225,734",2.45 %,"53,155","257,670","3,260",4,23,87 %
147,Lesotho,"2,142,249",0.80 %,"16,981","30,360","-10,047",3.2,24,31 %
148,North Macedonia,"2,083,374",0.00 %,-85,"25,220","-1,000",1.5,39,59 %
149,Slovenia,"2,078,938",0.01 %,284,"20,140","2,000",1.6,45,55 %
150,Guinea-Bissau,"1,968,001",2.45 %,"47,079","28,120","-1,399",4.5,19,45 %
151,Latvia,"1,886,198",-1.08 %,"-20,545","62,200","-14,837",1.7,44,69 %
152,Bahrain,"1,701,575",3.68 %,"60,403",760,"47,800",2,32,89 %
153,Equatorial Guinea,"1,402,985",3.47 %,"46,999","28,050","16,000",4.6,22,73 %
154,Trinidad and Tobago,"1,399,488",0.32 %,"4,515","5,130",-800,1.7,36,52 %
155,Estonia,"1,326,535",0.07 %,887,"42,390","3,911",1.6,42,68 %
156,Timor-Leste,"1,318,445",1.96 %,"25,326","14,870","-5,385",4.1,21,33 %
157,Mauritius,"1,271,768",0.17 %,"2,100","2,030",0,1.4,37,41 %
158,Cyprus,"1,207,359",0.73 %,"8,784","9,240","5,000",1.3,37,67 %
159,Eswatini,"1,160,164",1.05 %,"12,034","17,200","-8,353",3,21,30 %
160,Djibouti,"988,000",1.48 %,"14,440","23,180",900,2.8,27,79 %
161,Fiji,"896,445",0.73 %,"6,492","18,270","-6,202",2.8,28,59 %
162,Réunion,"895,312",0.72 %,"6,385","2,500","-1,256",2.3,36,100 %
163,Comoros,"869,601",2.20 %,"18,715","1,861","-2,000",4.2,20,29 %
164,Guyana,"786,552",0.48 %,"3,786","196,850","-6,000",2.5,27,27 %
165,Bhutan,"771,608",1.12 %,"8,516","38,117",320,2,28,46 %
166,Solomon Islands,"686,884",2.55 %,"17,061","27,990","-1,600",4.4,20,23 %
167,Macao,"649,335",1.39 %,"8,890",30,"5,000",1.2,39,N.A.
168,Montenegro,"628,066",0.01 %,79,"13,450",-480,1.8,39,68 %
169,Luxembourg,"625,978",1.66 %,"10,249","2,590","9,741",1.5,40,88 %
170,Western Sahara,"597,339",2.55 %,"14,876","266,000","5,582",2.4,28,87 %
171,Suriname,"586,632",0.90 %,"5,260","156,000","-1,000",2.4,29,65 %
172,Cabo Verde,"555,987",1.10 %,"6,052","4,030","-1,342",2.3,28,68 %
173,Maldives,"540,544",1.81 %,"9,591",300,"11,370",1.9,30,35 %
174,Malta,"441,543",0.27 %,"1,171",320,900,1.5,43,93 %
175,Brunei,"437,479",0.97 %,"4,194","5,270",0,1.8,32,80 %
176,Guadeloupe,"400,124",0.02 %,68,"1,690","-1,440",2.2,44,N.A.
177,Belize,"397,628",1.86 %,"7,275","22,810","1,200",2.3,25,46 %
178,Bahamas,"393,244",0.97 %,"3,762","10,010","1,000",1.8,32,86 %
179,Martinique,"375,265",-0.08 %,-289,"1,060",-960,1.9,47,92 %
180,Iceland,"341,243",0.65 %,"2,212","100,250",380,1.8,37,94 %
181,Vanuatu,"307,145",2.42 %,"7,263","12,190",120,3.8,21,24 %
182,French Guiana,"298,682",2.70 %,"7,850","82,200","1,200",3.4,25,87 %
183,Barbados,"287,375",0.12 %,350,430,-79,1.6,40,31 %
184,New Caledonia,"285,498",0.97 %,"2,748","18,280",502,2,34,72 %
185,French Polynesia,"280,908",0.58 %,"1,621","3,660","-1,000",2,34,64 %
186,Mayotte,"272,815",2.50 %,"6,665",375,0,3.7,20,46 %
187,Sao Tome & Principe,"219,159",1.91 %,"4,103",960,"-1,680",4.4,19,74 %
188,Samoa,"198,414",0.67 %,"1,317","2,830","-2,803",3.9,22,18 %
189,Saint Lucia,"183,627",0.46 %,837,610,0,1.4,34,19 %
190,Channel Islands,"173,863",0.93 %,"1,604",190,"1,351",1.5,43,30 %
191,Guam,"168,775",0.89 %,"1,481",540,-506,2.3,31,95 %
192,Curaçao,"164,093",0.41 %,669,444,515,1.8,42,89 %
193,Kiribati,"119,449",1.57 %,"1,843",810,-800,3.6,23,57 %
194,Micronesia,"115,023",1.06 %,"1,208",700,-600,3.1,24,21 %
195,Grenada,"112,523",0.46 %,520,340,-200,2.1,32,35 %
196,St. Vincent & Grenadines,"110,940",0.32 %,351,390,-200,1.9,33,53 %
197,Aruba,"106,766",0.43 %,452,180,201,1.9,41,44 %
198,Tonga,"105,695",1.15 %,"1,201",720,-800,3.6,22,24 %
199,U.S. Virgin Islands,"104,425",-0.15 %,-153,350,-451,2,43,96 %
200,Seychelles,"98,347",0.62 %,608,460,-200,2.5,34,56 %
201,Antigua and Barbuda,"97,929",0.84 %,811,440,0,2,34,26 %
202,Isle of Man,"85,033",0.53 %,449,570,,N.A.,N.A.,53 %
203,Andorra,"77,265",0.16 %,123,470,,N.A.,N.A.,88 %
204,Dominica,"71,986",0.25 %,178,750,,N.A.,N.A.,74 %
205,Cayman Islands,"65,722",1.19 %,774,240,,N.A.,N.A.,97 %
206,Bermuda,"62,278",-0.36 %,-228,50,,N.A.,N.A.,97 %
207,Marshall Islands,"59,190",0.68 %,399,180,,N.A.,N.A.,70 %
208,Northern Mariana Islands,"57,559",0.60 %,343,460,,N.A.,N.A.,88 %
209,Greenland,"56,770",0.17 %,98,"410,450",,N.A.,N.A.,87 %
210,American Samoa,"55,191",-0.22 %,-121,200,,N.A.,N.A.,88 %
211,Saint Kitts & Nevis,"53,199",0.71 %,376,260,,N.A.,N.A.,33 %
212,Faeroe Islands,"48,863",0.38 %,185,"1,396",,N.A.,N.A.,43 %
213,Sint Maarten,"42,876",1.15 %,488,34,,N.A.,N.A.,96 %
214,Monaco,"39,242",0.71 %,278,1,,N.A.,N.A.,N.A.
215,Turks and Caicos,"38,717",1.38 %,526,950,,N.A.,N.A.,89 %
216,Saint Martin,"38,666",1.75 %,664,53,,N.A.,N.A.,0 %
217,Liechtenstein,"38,128",0.29 %,109,160,,N.A.,N.A.,15 %
218,San Marino,"33,931",0.21 %,71,60,,N.A.,N.A.,97 %
219,Gibraltar,"33,691",-0.03 %,-10,10,,N.A.,N.A.,N.A.
220,British Virgin Islands,"30,231",0.67 %,201,150,,N.A.,N.A.,52 %
221,Caribbean Netherlands,"26,223",0.94 %,244,328,,N.A.,N.A.,75 %
222,Palau,"18,094",0.48 %,86,460,,N.A.,N.A.,N.A.
223,Cook Islands,"17,564",0.09 %,16,240,,N.A.,N.A.,75 %
224,Anguilla,"15,003",0.90 %,134,90,,N.A.,N.A.,N.A.
225,Tuvalu,"11,792",1.25 %,146,30,,N.A.,N.A.,62 %
226,Wallis & Futuna,"11,239",-1.69 %,-193,140,,N.A.,N.A.,0 %
227,Nauru,"10,824",0.63 %,68,20,,N.A.,N.A.,N.A.
228,Saint Barthelemy,"9,877",0.30 %,30,21,,N.A.,N.A.,0 %
229,Saint Helena,"6,077",0.30 %,18,390,,N.A.,N.A.,27 %
230,Saint Pierre & Miquelon,"5,794",-0.48 %,-28,230,,N.A.,N.A.,100 %
231,Montserrat,"4,992",0.06 %,3,100,,N.A.,N.A.,10 %
232,Falkland Islands,"3,480",3.05 %,103,"12,170",,N.A.,N.A.,66 %
233,Niue,"1,626",0.68 %,11,260,,N.A.,N.A.,46 %
234,Tokelau,"1,357",1.27 %,17,10,,N.A.,N.A.,0 %
235,Holy See,801,0.25 %,2,0,,N.A.,N.A.,N.A.
